name,type,asset_type,Name,asset_no,label_location,label_notes,serial_no,model_no,location,description
Screen (Nix) 00031,equipment,Screen,Nix,31,Back,,None,XO8D Digital picture frame,BMAG AV STORE,"11 inch low res, 4:3"
Screen (Nix) 00032,equipment,Screen,Nix,32,Back,,None,XO8D Digital picture frame,BMAG AV STORE,"12 inch low res, 4:3"
digital Photo Frame (Nix) 00203,equipment,digital Photo Frame,Nix,203,back,,14110e(30),x08d,Mshed AV Store 1st Floor,Missing PSU
 (Nix) 00207,equipment,,Nix,207,back,,1411oe(30),x08d,Mshed AV Store 1st Floor,complete wit PSU
digital Photo Frame (Nix) 00208,equipment,digital Photo Frame,Nix,208,back,,1411oe(30),x08d,Mshed AV Store 1st Floor,complete wit PSU
sound bar (onkyo) 00212,equipment,sound bar,onkyo,212,back,,3786mp53x0600642a,ls-b40,Mshed AV Store 1st Floor,
DVD Player (Pioneer) 00049,equipment,DVD Player,Pioneer,49,Top,,BFNN000774EW,DVD-V73000,BMAG AV STORE,
DVD Player (Pioneer) 00050,equipment,DVD Player,Pioneer,50,Top,,BFNN000764EW,DVD-V73000,BMAG AV STORE,
Projector (projection Design) 00202,equipment,Projector,projection Design,202,bottom,,8320131,GP2,Mshed AV Store 1st Floor,data projector
Raspberry Pi (Raspberry Pi) 00205,equipment,Raspberry Pi,Raspberry Pi,205,side,,n/a,RPI 1,Mshed AV Store 1st Floor,part of contribituion wrap display
Screen (RCStars) 00035,equipment,Screen,RCStars,35,Back,,1.92E+13,RCS-1010PM,BMAG AV STORE,"10.1"" 16:10 1280x800 vga, dvi-d, hdmi"
sub woofer (SS Directional Audio) 00218,equipment,sub woofer,SS Directional Audio,218,back,,xl130am02863,SB1,Mshed AV Store 1st Floor,
sub woofer (SS Directional Audio) 00219,equipment,sub woofer,SS Directional Audio,219,back,,xl130am09880,SB1,Mshed AV Store 1st Floor,
wifi router (tp-link) 00206,equipment,wifi router,tp-link,206,side,,13c65503008,tl-wr710n,Mshed AV Store 1st Floor,part of contribituion wrap display
display screen (unknown) 00243,equipment,display screen,unknown,243,back,,n/a,"n/a 10""",mshed AV Store ground Floor,one the old ones with a remote metal surroung
display screen (unknown) 00244,equipment,display screen,unknown,244,back,,n/a,"n/a 10""",mshed AV Store ground Floor,one the old ones with a remote metal surround has wooden frame
display screen (unknown) 00245,equipment,display screen,unknown,245,back,,n/a,"n/a 10""",mshed AV Store ground Floor,one the old ones with a remote metal surroung
"19"" open frame display (unknown) 00246",equipment,"19"" open frame display",unknown,246,back,,n/a,w19l300,mshed AV Store ground Floor,
"19"" open frame display (unknown) 00247",equipment,"19"" open frame display",unknown,247,back,,n/a,w19l300,mshed AV Store ground Floor,"unresponsive touch, maybe dirty"
 () 00051,equipment,,,51,,,,, ,
Light (adj) 00201,equipment,Light,adj,201,top,,,H2O LED,Mshed AV Store 1st Floor,Aquatic water fx light
Record cassette mp3 converter (ION) 00253,equipment,Record cassette mp3 converter,ION,253,bottom,,(21) pf1305i35801645,ion duo deck,mshed office,
vcr  (LG) 00254,equipment,vcr ,LG,254,side,,804sh01044,W141I,MSHED OFFICE,
hifi amplifier (denon) 00255,equipment,hifi amplifier,denon,255,side,,8124598611,pma-250se,MSHED OFFICE,
"ipad security stand (n/a
) 00256",equipment,ipad security stand,"n/a
",256,back,,n/a,n/a,mshed office,ex shopify pop up shop
Mobile Tablet (Apple) 00051,equipment,Mobile Tablet,Apple,51,Back,,DMPP3FZQG5VJ,ipad air 2 ,BMAG front hall (survey kiosk),16gb space grey
Mobile Tablet (Apple) 00052,equipment,Mobile Tablet,Apple,52,Back,,DLXNRMXWGVJ,ipad air 2 ,zahid office,16gb space grey
Mobile Tablet (Apple) 00053,equipment,Mobile Tablet,Apple,53,Back,,DMPQMSS9FK10,ipad air 1,With Darren,16gb space grey
Mobile Tablet (Asus) 00054,equipment,Mobile Tablet,Asus,54,Back,,D90KBC462778,Nexus 7,Zahid office,Black
light (Chavet ) 00055,equipment,light,Chavet ,55,Back,,3.05106E+16,Abyss USB,Pliosaur,
light (Chavet ) 00056,equipment,light,Chavet ,56,Back,,3.05106E+16,Abyss USB,Pliosaur,
light (Chavet ) 00057,equipment,light,Chavet ,57,Back,,3.05106E+16,Abyss USB,Pliosaur,
projector (Panasonic) 00058,equipment,projector,Panasonic,58,top,,DE6250008,PT-JW130GWE,Pliosaur,"this was sent off for repair, now fixed. Laser unit was replaced"
projector (Panasonic) 00059,equipment,projector,Panasonic,59,top,,DE6250015,PT-JW130GWE,Pliosaur,
projector (Panasonic) 00060,equipment,projector,Panasonic,60,top,,DE6250006,PT-JW130GWE,Pliosaur,
projector (Panasonic) 00061,equipment,projector,Panasonic,61,top,,DE6250019,PT-JW130GWE,Pliosaur,
projector (Panasonic) ,equipment,projector,Panasonic,,,,DE6250005,PT-JW130GWE,case store,
 (Panasonic) ,equipment,,Panasonic,,,no access right now,,PT-JW130GWE,case store,
 (Panasonic) ,equipment,,Panasonic,,,no access right now,,PT-JW130GWE,case store,
 (Panasonic) ,equipment,,Panasonic,,,no access right now,,PT-JW130GWE,case store,
 (Panasonic) ,equipment,,Panasonic,,,no access right now,,PT-JW130GWE,case store,
