Variant ID,Product Handle,Title,Quantity,SKU,Number Sold,Price,Cost Price,Product Type,Vendor
28422235981,wpy-2016-library-natural-estates-ticket,WPY 2016 Library/ Natural Estates Ticket - Default Title,-60,"",61,0.00,0.0,Exhibitions,WPY 2016 Exhibition Tickets
28400225805,wpy52-desk-calendar-2017,WPY52 desk calendar 2017 - Default Title,0,A20885,75,7.50,0.0,Stationary and Greeting cards,Natural History Museum
1637664257,postcard,Wrapping Paper £1.00 - Default Title,-106,1,115,1.00,0.0,Stationary and Greeting cards,General
1765216833,wsm-magnet-rail-498-mag,WSM MAGNET - RAIL 498 MAG - Default Title,-18,1,19,3.00,0.0,Souvenirs,Star Editions
6520351873,xl-cut-base-quartz-cluster-70-00,XL Cut base Quartz Cluster £70.00 - Default Title,2,"",0,70.00,0.0,Souvenirs,British Fossils
1476121025,yellow-bendy-man,Yellow Bendy Man - Default Title,18,1,684,0.50,0.0,Kids,Ashwood
12060067969,yo-ho-ho,Yo Ho Ho - Default Title,3,"",0,7.50,3.29,Kids,Orchard Toys
27559329793,you-can-count-on-me-book,You Can Count On Me Book - Default Title,0,402077,4,3.99,0.0,Books,House of Marbles
16425294785,you-is-well-fit-mji587,You Is Well Fit MJI587 - Default Title,7,"",34,2.50,0.0,Stationary and Greeting cards,Art Angels
28683222797,youre-a-star,You're A Star - Default Title,2,BB137,1,12.50,0.0,"",M Shed Shop
2307861505,zabriskie-point,Zabriskie Point - Default Title,1,1,0,8.00,0.0,Prints,John Brooks
6155350529,zipper-bracelet,Zipper Bracelet - Default Title,5,"",49,1.00,0.0,Kids,Ashwood
23937587073,zippy-zip-it-keyring,Zippy Zip It Keyring - Default Title,8,17630,27,1.50,0.0,Souvenirs,WG Retro
5137051521,zoo-foam-mask,Zoo Foam Mask - Default Title,33,1,63,1.00,0.0,Kids,Ashwood
21440864769,2-50-art-pass-childrens-tv-2016,£2 Concession - Children's TV 2016 - Default Title,9999,"",1,2.00,0.0,Exhibitions,Becky Peters
21441617537,2-50-art-fund-childrens-tv-2016,£2.50 Art Fund - Children's TV 2016 - Default Title,9992,"",8,2.50,0.0,Exhibitions,Becky Peters
21440833281,4-concession-childrens-tv-2016,£4 Concession - Children's TV 2016 - Default Title,9968,"",32,4.00,0.0,Exhibitions,Becky Peters
