Variant ID,Product Handle,Title,Quantity,SKU,Number Sold,Price,Cost Price,Product Type,Vendor
7191255351347,the-secret-life-of-a-pencil,The Secret Life of a Pencil - Default Title,4,60238172,1,12.99,0.0,Books,Heritage Books
972363005957,the-secret-life-of-birds,The Secret Life of Birds - Default Title,2,9780141034768,3,14.99,8.24,Books,Heritage Books
36726587461,the-skeketon-book,The Skeketon Book - Default Title,7,"",3,12.99,7.14,Books,Heritage Books
26406326085,the-slave-trade,The Slave Trade - Default Title,13,9780747807087,19,7.95,4.3725,Books,Heritage Books
26406326149,the-slave-trade-history-files,The Slave Trade History Files - Default Title,12,9780500289174,21,12.95,7.1225,Books,Heritage Books
29270001349,kubrick-archives,The Stanley Kubrick Archives - Default Title,5,9783836555821,11,15.00,7.14,Books,Heritage Books
28454087749,the-state-entry-into-delhi-greetings-card,The State Entry into Delhi Greetings Card - Default Title,333,"",16,2.50,0.7,Stationary and Greeting cards,Customworks
28452610821,the-state-entry-into-delhi,The State Entry into Delhi Postcard - Default Title,253,"",123,0.70,0.18,Stationary and Greeting cards,Customworks
26406326213,book-the-story-of-art,The Story of Art - Default Title,6,9780714832470,4,24.95,13.7225,Books,Heritage Books
26406326341,the-story-of-life-a-first-book-about-evolution,The Story of Life: A First Book about Evolution - Default Title,3,9781847804853,57,12.99,7.1445,Books,Heritage Books
26406326405,the-story-of-the-world-in-100-species,The Story of the World in 100 Species - Default Title,6,9781408876381,5,20.00,11.0,Books,Heritage Books
28452876037,the-turkeys,The Turkeys - Default Title,105,"",228,0.70,0.18,Stationary and Greeting cards,Customworks
28453512197,the-turkeys-greetings-card,The Turkeys Greetings Card - Default Title,342,"",28,2.50,0.7,Stationary and Greeting cards,Customworks
649722429445,bf-the-usborne-introduction-to-art,The Usborne Introduction to Art - Default Title,1,9781409582991,0,6.50,0.0,Books,Christmas Sale
7228398862387,the-walkers-guide-to-outdoor-clues-signs,The Walker's Guide to Outdoor Clues & Signs - Default Title,6,9781444780109,8,10.99,0.0,Books,Heritage Books
26408255557,the-waterwheel-cdp-76b-1,The Waterwheel CDP 76B/1 - Default Title,17,12WPB/1,33,2.25,0.94,Stationary and Greeting cards,Canns Down Press Ltd
7464617869363,the-wedding-register-notecard,The Wedding Register Notecard - Default Title,220,BNCBR1072,10,2.50,0.8,Bespoke,Customworks
7464538734643,the-wedding-register-postcard,The Wedding Register Postcard - Default Title,475,BPCBR1072,25,0.70,0.21,Bespoke,Customworks
7720444756019,the-women-who-built-bristol-1184-2018,The Women Who Built Bristol 1184-2018 - Default Title,5,9781910089712,0,12.99,0.0,Books,Online from M Shed
1066475847685,there-was-an-old-lady,There was an Old Lady - Default Title,0,402065,2,3.99,2.0,Books,House of Marbles
972151521285,think-like-anartist,Think Like an Artist - Default Title,18,978241970805,14,9.99,0.0,Books,Heritage Books
